mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004313468933105469,0.0008204414887898197,0.005206441879272461,0.0015754609621497016,16.68100537200059,2000,"{1: 2, 0: 1}",1.2915496650148828,rbf,"{'C': np.float64(16.68100537200059), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(1.2915496650148828), 'kernel': 'rbf'}",0.6375,0.8125,0.96875,0.8095238095238095,0.65,0.7756547619047619,0.12220172859520168,1
0.004307699203491211,0.0005112589972945252,0.00360722541809082,0.0005838563921895922,1000.0,2000,"{1: 3.5, 0: 1}",0.1668100537200059,rbf,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(0.1668100537200059), 'kernel': 'rbf'}",0.83125,0.7625,0.84375,0.6598639455782312,0.7642857142857142,0.7723299319727891,0.06539470258335943,2
0.0038125038146972655,0.0005196631949805254,0.0032034397125244142,0.0002472908212549759,129.15496650148827,2000,"{1: 2, 0: 1}",0.46415888336127775,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(0.46415888336127775), 'kernel': 'rbf'}",0.675,0.7749999999999999,0.9312499999999999,0.782312925170068,0.6785714285714286,0.7684268707482993,0.09332735999855589,3
0.004419946670532226,0.0005997562657901736,0.0050068855285644535,0.0025322297395499894,1000.0,2000,"{1: 2, 0: 1}",0.1668100537200059,rbf,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(0.1668100537200059), 'kernel': 'rbf'}",0.7375,0.8,0.8687499999999999,0.7687074829931971,0.6571428571428571,0.7664200680272109,0.0698314230550136,4
0.003709697723388672,0.0006070019892411253,0.002902507781982422,0.0006629026634029328,129.15496650148827,2000,"{1: 3, 0: 1}",0.46415888336127775,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(0.46415888336127775), 'kernel': 'rbf'}",0.74375,0.8187500000000001,0.8375,0.6938775510204082,0.7,0.7587755102040816,0.05947529971804632,5
0.004404020309448242,0.000374675639828527,0.00351099967956543,0.0007114082071894493,359.38136638046257,2000,"{1: 2, 0: 1}",0.46415888336127775,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(0.46415888336127775), 'kernel': 'rbf'}",0.7875,0.84375,0.75,0.7210884353741497,0.6785714285714286,0.7561819727891157,0.05646618093622839,6
0.004105567932128906,0.0006663194724486224,0.003608560562133789,0.0004897888665196463,129.15496650148827,2000,"{1: 3.5, 0: 1}",0.46415888336127775,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(0.46415888336127775), 'kernel': 'rbf'}",0.78125,0.825,0.81875,0.6394557823129251,0.7071428571428571,0.7543197278911563,0.07112184406025589,7
0.0034075260162353517,0.0005835155572099074,0.003702735900878906,0.0007483676052540154,0.774263682681127,2000,balanced,10.0,rbf,"{'C': np.float64(0.774263682681127), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.6312500000000001,0.93125,0.8125,0.8027210884353742,0.5785714285714286,0.7512585034013606,0.12885551917849322,8
0.00551300048828125,0.004303741998715562,0.0045074462890625,0.0017374520944763625,46.41588833612777,2000,"{1: 2, 0: 1}",1.2915496650148828,rbf,"{'C': np.float64(46.41588833612777), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(1.2915496650148828), 'kernel': 'rbf'}",0.7562500000000001,0.8375,0.80625,0.7482993197278912,0.6071428571428571,0.7510884353741496,0.07907528959273634,9
0.006312036514282226,0.001749404570740429,0.004807138442993164,0.0010269832359131245,359.38136638046257,2000,"{1: 3.5, 0: 1}",0.46415888336127775,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(0.46415888336127775), 'kernel': 'rbf'}",0.875,0.8375,0.7,0.5986394557823129,0.7428571428571429,0.750799319727891,0.09873103888230965,10
