mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004910469055175781,0.0013996355243824166,0.0022019386291503907,0.0004002354665798024,1000.0,2000,"{1: 2, 0: 1}",3.593813663804626,rbf,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(3.593813663804626), 'kernel': 'rbf'}",0.69375,0.9,0.86875,0.8231292517006802,0.6785714285714286,0.7928401360544217,0.09059709375561795,1
0.0030060291290283205,0.0008347090418850551,0.003105354309082031,0.001958967362333161,129.15496650148827,2000,"{1: 3, 0: 1}",10.0,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.71875,0.875,0.79375,0.8503401360544217,0.6785714285714286,0.78328231292517,0.0750296567385213,2
0.0036201953887939455,0.001764243301642127,0.004605340957641602,0.002060125811365928,129.15496650148827,2000,"{1: 3.5, 0: 1}",10.0,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.74375,0.875,0.7875,0.8503401360544217,0.65,0.7813180272108843,0.08029241715319248,3
0.004410076141357422,0.001165402846648125,0.0024062156677246093,0.00037522553821158465,1000.0,2000,"{1: 3.5, 0: 1}",3.593813663804626,rbf,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(3.593813663804626), 'kernel': 'rbf'}",0.70625,0.88125,0.7875,0.8503401360544217,0.6714285714285715,0.7793537414965985,0.08059810989338305,4
0.00762643814086914,0.004817769717063421,0.008821821212768555,0.005330467638305856,129.15496650148827,2000,"{1: 2, 0: 1}",10.0,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.6625,0.89375,0.85625,0.8231292517006802,0.6499999999999999,0.7771258503401359,0.10127013742552557,5
0.0032068729400634766,0.000511934971305348,0.00230560302734375,0.0004084703159665051,359.38136638046257,2000,"{1: 2, 0: 1}",10.0,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.7,0.8875,0.775,0.8435374149659863,0.6714285714285715,0.7754931972789116,0.08210292546403775,6
0.005110788345336914,0.0015373365709850993,0.00410304069519043,0.0015630082317501898,1000.0,2000,"{1: 3, 0: 1}",3.593813663804626,rbf,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(3.593813663804626), 'kernel': 'rbf'}",0.7,0.9,0.8125,0.8503401360544217,0.6142857142857142,0.7754251700680272,0.10407743644557944,7
0.0024056434631347656,0.0005911259878584308,0.005217123031616211,0.004716531735976584,129.15496650148827,2000,balanced,10.0,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.6625000000000001,0.8875,0.83125,0.8299319727891157,0.6642857142857144,0.7750935374149661,0.09354324502548392,8
0.004104089736938476,0.000861076303111123,0.0022056102752685547,0.00039895640267232393,359.38136638046257,2000,"{1: 3.5, 0: 1}",10.0,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 3.5, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.79375,0.8750000000000001,0.6937500000000001,0.8231292517006802,0.6857142857142857,0.7742687074829933,0.07380896246534087,9
0.0041062355041503905,0.0010244403109995195,0.0024027347564697264,0.0008608148860900603,359.38136638046257,2000,balanced,10.0,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.7375,0.8687499999999999,0.70625,0.8503401360544217,0.7,0.7725680272108842,0.07237877954547695,10
